"","value","L2","L1"
"1",3,1,1
"2",4,1,1
"3",5,1,1
"4",15,1,1
"5",3,2,1
"6",5,2,1
"7",15,2,1
"8",3,3,1
"9",5,3,1
"10",3,4,1
"11",5,4,1
"12",9,4,1
"13",17,4,1
"14",3,5,1
"15",5,5,1
"16",9,5,1
"17",1,1,2
"18",3,1,2
"19",3,2,2
"20",5,2,2
"21",17,2,2
"22",1,3,2
"23",4,3,2
"24",6,3,2
"25",13,3,2
"26",15,3,2
"27",1,1,3
"28",4,1,3
"29",6,1,3
"30",13,1,3
"31",15,1,3
"32",1,1,4
"33",3,1,4
"34",7,1,5
"35",12,1,5
"36",17,1,5
"37",1,1,6
"38",3,1,6
"39",3,2,6
"40",5,2,6
"41",17,2,6
"42",1,1,7
"43",4,1,7
"44",6,1,7
"45",13,1,7
"46",15,1,7
"47",1,2,7
"48",3,2,7
"49",3,3,7
"50",5,3,7
"51",17,3,7
"52",3,1,8
"53",5,1,8
"54",17,1,8
"55",1,2,8
"56",3,2,8
"57",1,3,8
"58",4,3,8
"59",6,3,8
"60",13,3,8
"61",15,3,8
"62",1,1,9
"63",3,1,9
"64",1,2,9
"65",4,2,9
"66",6,2,9
"67",13,2,9
"68",15,2,9
"69",3,3,9
"70",5,3,9
"71",17,3,9
"72",1,1,10
"73",3,1,10
"74",1,2,10
"75",4,2,10
"76",6,2,10
"77",13,2,10
"78",15,2,10
"79",3,3,10
"80",5,3,10
"81",17,3,10
"82",1,1,11
"83",3,1,11
"84",1,2,11
"85",4,2,11
"86",6,2,11
"87",13,2,11
"88",15,2,11
"89",3,3,11
"90",5,3,11
"91",17,3,11
"92",3,4,11
"93",4,4,11
"94",5,4,11
"95",8,5,11
"96",15,5,11
"97",1,1,12
"98",3,1,12
"99",1,2,12
"100",4,2,12
"101",6,2,12
"102",13,2,12
"103",15,2,12
"104",3,3,12
"105",5,3,12
"106",17,3,12
"107",1,1,13
"108",3,1,13
"109",3,2,13
"110",5,2,13
"111",17,2,13
"112",1,1,14
"113",3,1,14
"114",1,2,14
"115",4,2,14
"116",6,2,14
"117",13,2,14
"118",15,2,14
"119",3,3,14
"120",5,3,14
"121",17,3,14
"122",1,4,14
"123",6,4,14
"124",3,1,15
"125",5,1,15
"126",17,1,15
"127",1,2,15
"128",3,2,15
"129",1,3,15
"130",4,3,15
"131",6,3,15
"132",9,3,15
"133",11,3,15
"134",13,3,15
"135",1,1,16
"136",3,1,16
"137",1,2,16
"138",4,2,16
"139",6,2,16
"140",13,2,16
"141",15,2,16
"142",3,3,16
"143",5,3,16
"144",17,3,16
"145",1,1,17
"146",4,1,17
"147",6,1,17
"148",13,1,17
"149",15,1,17
"150",1,2,17
"151",6,2,17
"152",13,2,17
