"","value","L2","L1"
"1",3,1,1
"2",4,1,1
"3",5,1,1
"4",8,1,1
"5",11,1,1
"6",16,1,1
"7",1,1,2
"8",3,1,2
"9",4,1,2
"10",5,1,2
"11",8,1,2
"12",11,1,2
"13",16,1,2
"14",1,1,3
"15",4,1,3
"16",5,1,3
"17",6,1,3
"18",8,1,3
"19",10,1,3
"20",11,1,3
"21",13,1,3
"22",14,1,3
"23",15,1,3
"24",16,1,3
"25",1,1,4
"26",3,1,4
"27",5,1,4
"28",8,1,4
"29",10,1,4
"30",11,1,4
"31",14,1,4
"32",16,1,4
"33",1,2,4
"34",3,2,4
"35",4,2,4
"36",5,2,4
"37",8,2,4
"38",11,2,4
"39",16,2,4
"40",3,1,5
"41",4,1,5
"42",7,1,5
"43",10,1,5
"44",14,1,5
"45",16,1,5
"46",17,1,5
"47",2,2,5
"48",3,2,5
"49",4,2,5
"50",8,2,5
"51",11,2,5
"52",16,2,5
"53",2,3,5
"54",3,3,5
"55",4,3,5
"56",8,3,5
"57",9,3,5
"58",11,3,5
"59",16,3,5
"60",2,4,5
"61",3,4,5
"62",4,4,5
"63",11,4,5
"64",16,4,5
"65",3,5,5
"66",7,5,5
"67",10,5,5
"68",14,5,5
"69",16,5,5
"70",17,5,5
"71",1,1,6
"72",3,1,6
"73",4,1,6
"74",5,1,6
"75",8,1,6
"76",11,1,6
"77",16,1,6
"78",1,1,7
"79",3,1,7
"80",4,1,7
"81",5,1,7
"82",8,1,7
"83",11,1,7
"84",16,1,7
"85",1,1,8
"86",3,1,8
"87",4,1,8
"88",5,1,8
"89",11,1,8
"90",16,1,8
"91",1,1,9
"92",3,1,9
"93",4,1,9
"94",5,1,9
"95",8,1,9
"96",11,1,9
"97",16,1,9
"98",1,1,10
"99",3,1,10
"100",4,1,10
"101",5,1,10
"102",8,1,10
"103",11,1,10
"104",16,1,10
"105",1,1,11
"106",3,1,11
"107",4,1,11
"108",5,1,11
"109",8,1,11
"110",15,1,11
"111",16,1,11
"112",1,2,11
"113",3,2,11
"114",4,2,11
"115",5,2,11
"116",8,2,11
"117",11,2,11
"118",16,2,11
"119",1,3,11
"120",2,3,11
"121",3,3,11
"122",4,3,11
"123",5,3,11
"124",6,3,11
"125",7,3,11
"126",8,3,11
"127",9,3,11
"128",12,3,11
"129",15,3,11
"130",16,3,11
"131",17,3,11
"132",1,4,11
"133",2,4,11
"134",3,4,11
"135",4,4,11
"136",5,4,11
"137",7,4,11
"138",8,4,11
"139",9,4,11
"140",12,4,11
"141",13,4,11
"142",15,4,11
"143",16,4,11
"144",17,4,11
"145",1,5,11
"146",2,5,11
"147",3,5,11
"148",4,5,11
"149",5,5,11
"150",6,5,11
"151",7,5,11
"152",8,5,11
"153",9,5,11
"154",10,5,11
"155",12,5,11
"156",13,5,11
"157",14,5,11
"158",15,5,11
"159",16,5,11
"160",17,5,11
"161",1,6,11
"162",2,6,11
"163",3,6,11
"164",4,6,11
"165",5,6,11
"166",7,6,11
"167",8,6,11
"168",9,6,11
"169",10,6,11
"170",12,6,11
"171",14,6,11
"172",15,6,11
"173",16,6,11
"174",17,6,11
"175",1,7,11
"176",2,7,11
"177",3,7,11
"178",4,7,11
"179",5,7,11
"180",7,7,11
"181",8,7,11
"182",9,7,11
"183",10,7,11
"184",12,7,11
"185",13,7,11
"186",14,7,11
"187",15,7,11
"188",16,7,11
"189",17,7,11
"190",1,1,12
"191",3,1,12
"192",4,1,12
"193",5,1,12
"194",8,1,12
"195",11,1,12
"196",16,1,12
"197",1,1,13
"198",3,1,13
"199",4,1,13
"200",5,1,13
"201",8,1,13
"202",11,1,13
"203",16,1,13
"204",1,1,14
"205",3,1,14
"206",4,1,14
"207",5,1,14
"208",8,1,14
"209",11,1,14
"210",16,1,14
"211",1,1,15
"212",3,1,15
"213",4,1,15
"214",5,1,15
"215",8,1,15
"216",11,1,15
"217",16,1,15
"218",1,1,16
"219",3,1,16
"220",4,1,16
"221",5,1,16
"222",8,1,16
"223",11,1,16
"224",1,1,17
"225",3,1,17
"226",4,1,17
"227",5,1,17
"228",8,1,17
"229",11,1,17
"230",16,1,17
